,brand,name,price,spec_rating,processor,CPU,Ram,ROM,ROM_type,GPU,display_size,resolution,OS,warranty
318,Asus,TUF Gaming F15  FX506HF-HN075W Gaming Laptop,53990,66.0,11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",8GB DDR4 ,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
319,HP,15S-EQ1550AU Laptop,31890,,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",8GB DDR4 ,512GB,SSD,AMD Radeon Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
320,Asus,Vivobook Pro 15 M6500QF-HN541WS Creator Laptop,62390,63.0,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",16GB DDR4 ,512GB,SSD,4GB NVIDIA GeForce GTX 2050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
321,Wings,Nuvobook Pro Laptop,49990,,11th Gen Intel Core i7 1165G7,"Quad Core, 8 Threads",16GB LPDDR4 ,512GB,SSD,Intel Graphics,14inches,1080x1920pixels,Windows 11 OS,1 Year Warranty
322,Wings,Nuvobook S1 Laptop,29990,,11th Gen Intel Core i3 1125G4,"Quad Core, 8 Threads",8GB LPDDR4 ,256GB,SSD,Intel Graphics,15.6inches,1080x1920pixels,Windows 11 OS,1 Year Warranty
323,Infinix,INBook X3 Slim Series XL422 Laptop,49990,,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16GB LPDDR4X ,512GB,SSD,Intel Integrated Iris Xe,14inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
324,Lenovo,IdeaPad Slim 5 16IRL8 82XF003JIN Laptop,82990,64.0,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",16GB  LPDDR5 ,512GB,SSD,Integrated Intel Iris Xe Graphics,16inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
325,Dell,Vostro 3430 Laptop,43490,,13th Gen Intel Core i3 1305U,"5 Cores (1P + 4E), 6 Threads",8GB DDR4 ,512GB,SSD,Intel UHD Graphics,14inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
326,Dell,Inspiron 7430 2 in 1 Touch Laptop,95640,60.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB LPDDR5 ,1TB,SSD,Intel Iris Xe Graphics,14inches,1920x1200pixels,Windows 11 OS,1 Year Warranty
327,HP,Omen 16-xf0060AX Gaming Laptop,125990,80.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16GB DDR5 ,1TB,SSD,8GB NVIDIA GeForce RTX 4060,16inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
328,HP,Pavilion 15-eg3017TU Laptop,72990,63.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB DDR4 ,1TB,SSD,Intel Integrated Intel Iris Xe Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
329,MSI,Thin GF63 11UCX-1497IN Gaming Laptop,47990,69.0,11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",8GB DDR4 ,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6inches,1920x1080pixels,Windows 11 OS,2 Year Warranty
330,HP,Victus  15-fa1060TX  Gaming Laptop,99999,71.0,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",16GB DDR4 ,512GB,SSD,6GB NVIDIA GeForce RTX 4050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
